ID,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,renovated,zipcode,lat,long,sqft_living15,sqft_lot15
16188,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,0,98136,47.5208,-122.393,1360,5000
16189,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,0,98003,47.3343,-122.306,1280,8850
16190,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,0,98027,47.5391,-122.07,2580,3980
16191,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,0,98001,47.3341,-122.282,1290,7800
16192,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,0,98115,47.6796,-122.301,970,5100
16193,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,0,98105,47.6571,-122.281,2730,6000
16194,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,0,98042,47.3663,-122.122,2690,4750
16195,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,0,98059,47.5059,-122.149,2270,8542
16196,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,0,98166,47.4336,-122.339,2570,18900
16197,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,0,98115,47.6765,-122.32,1580,3090
16198,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,0,98144,47.5747,-122.304,1440,4000
16199,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,0,98042,47.3621,-122.11,1010,12635
16200,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,0,98004,47.6303,-122.215,3390,20158
16201,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,0,98125,47.7168,-122.287,1510,7807
16202,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,0,98042,47.3511,-122.073,1940,50529
16203,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,0,98133,47.7073,-122.34,1130,5693
16204,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,0,98038,47.3512,-122.008,2350,5363
16205,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,0,98059,47.4811,-122.149,1850,8797
16206,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,0,98023,47.2897,-122.372,1980,7510
16207,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,1,98040,47.5873,-122.249,1950,6045
16208,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,0,98032,47.3576,-122.277,1750,15616
16209,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,0,98102,47.6415,-122.315,2200,4500
16210,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,0,98058,47.4375,-122.184,1640,14910
16211,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,0,98058,47.4431,-122.133,2250,8162
16212,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,0,98077,47.7304,-122.082,2990,35001
16213,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,0,98052,47.6417,-122.109,2500,9433
16214,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,0,98038,47.3624,-122.031,1540,11656
16215,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,0,98103,47.6824,-122.347,1620,3166
16216,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,0,98177,47.7728,-122.386,2340,10856
16217,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,0,98034,47.7288,-122.226,1580,9104
16218,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,1,98004,47.6141,-122.212,3060,11275
16219,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,0,98092,47.2761,-122.152,1420,7680
16220,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,0,98029,47.5517,-121.998,1690,1662
16221,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,0,98107,47.6734,-122.38,1540,2285
16222,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,0,98003,47.3257,-122.296,1550,19265
16223,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,0,98028,47.7689,-122.266,1550,10436
16224,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,0,98125,47.7135,-122.287,1060,5715
16225,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,0,98119,47.6338,-122.358,1170,3600
16226,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,0,98077,47.7421,-122.026,2840,87991
16227,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,0,98032,47.3887,-122.286,1360,18000
16228,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,0,98107,47.655,-122.359,1420,5000
16229,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,0,98003,47.3255,-122.304,1680,8633
16230,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,0,98058,47.4479,-122.176,1190,7669
16231,3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,0,0,98075,47.6012,-122.023,3400,12601
16232,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,0,98034,47.7209,-122.168,1640,7500
16233,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,0,98198,47.408,-122.327,1830,9750
16234,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,0,98006,47.565,-122.125,2920,4500
16235,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,0,98133,47.7458,-122.331,1770,7288
16236,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,0,98166,47.4776,-122.337,1070,7920
16237,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,0,98133,47.7658,-122.339,1480,7940
16238,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,0,98030,47.3505,-122.179,1670,6183
16239,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,0,98034,47.7044,-122.2,2290,9600
16240,4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,0,0,98052,47.6993,-122.102,2260,9984
16241,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,0,98074,47.62,-122.043,2030,8744
16242,3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,0,0,98052,47.6647,-122.153,2230,9340
16243,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,0,98058,47.4616,-122.184,1230,7980
16244,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,0,98108,47.5511,-122.312,1500,6480
16245,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,0,98023,47.3025,-122.37,1430,7500
16246,4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,0,0,98038,47.354,-122.047,1630,6397
16247,3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,0,0,98105,47.6647,-122.284,1160,1327
16248,4,2.5,2240,12032,1,0,0,3,9,2240,0,1983,0,0,98074,47.6143,-122.017,2520,12368
16249,2,1.5,1320,10800,1,0,0,4,8,1320,0,1947,0,0,98177,47.7145,-122.367,2120,12040
16250,4,2.5,2760,6440,2,0,0,3,10,2760,0,1999,0,0,98075,47.5836,-122.026,3070,8127
16251,3,2.25,2220,16020,1,0,0,4,8,1780,440,1966,0,0,98030,47.3758,-122.217,2080,9583
16252,3,2.5,1480,4729,2,0,0,3,7,1480,0,2004,0,0,98053,47.6794,-122.034,2250,4729
16253,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,1978,1,98166,47.4497,-122.375,2030,13193
16254,4,2.75,2280,15347,1,0,0,5,7,2280,0,1960,0,0,98059,47.5218,-122.164,2280,15347
16255,3,3.5,3830,221284,2,0,0,3,10,3530,300,1993,0,0,98077,47.7641,-122.023,2920,148539
16256,2,1,1430,5000,1.5,0,0,2,7,1430,0,1925,0,0,98115,47.6727,-122.299,1450,3750
16257,2,2,1420,9191,1.5,0,2,5,7,1420,0,1928,0,0,98115,47.6979,-122.32,1420,6816
16258,3,1,1230,10170,1,0,0,3,7,1230,0,1979,0,0,98045,47.4437,-121.772,1380,10098
16259,4,2.5,2460,4425,2,0,0,3,8,2460,0,2006,0,0,98052,47.7048,-122.109,2990,5659
16260,3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,0,0,98112,47.6362,-122.302,1660,4400
16261,4,2.5,1700,7280,2,0,0,4,7,1700,0,1988,0,0,98031,47.4045,-122.171,1950,7475
16262,4,4.75,5310,57346,2,0,0,4,11,5310,0,1989,0,0,98077,47.7285,-122.042,4180,47443
16263,3,1,1700,11390,1,0,0,4,7,1700,0,1967,0,0,98003,47.3271,-122.323,1350,8164
16264,4,2.75,3820,26300,2,0,0,3,9,2850,970,2014,0,0,98028,47.7618,-122.261,1860,12136
16265,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,0,98118,47.5362,-122.268,2020,6000
16266,4,1.75,2600,11325,1,0,0,4,7,1610,990,1969,0,0,98031,47.3954,-122.206,1720,11088
16267,4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,0,0,98034,47.7128,-122.223,2120,9600
16268,4,3,3280,11060,2,0,0,3,8,2270,1010,1986,0,0,98056,47.5399,-122.181,2320,11004
16269,3,1.5,2030,8880,1,0,0,3,7,1330,700,1963,0,0,98108,47.5586,-122.311,2140,5592
16270,4,2.25,2180,7297,2,0,0,3,8,2180,0,1984,0,0,98074,47.6459,-122.058,2250,9781
16271,4,2.75,3320,10574,2,0,0,5,8,2220,1100,1960,0,0,98056,47.5376,-122.18,2720,8330
16272,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1915,0,0,98065,47.529,-121.837,1660,78408
16273,3,1.75,1510,10248,1,0,0,3,7,1510,0,1969,0,0,98023,47.2929,-122.371,1510,9753
16274,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,1,98146,47.4957,-122.352,1820,7460
16275,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,1,98146,47.4957,-122.352,1820,7460
16276,2,1,1070,5000,1,0,0,3,7,1070,0,1924,0,0,98103,47.6666,-122.331,1710,5000
16277,4,2,2490,9525,2,0,0,5,9,2490,0,1968,0,0,98040,47.5639,-122.217,2770,9525
16278,4,2,1510,3500,1.5,0,0,5,7,1510,0,1911,0,0,98103,47.6794,-122.357,1820,3750
16279,3,2,1390,13464,1,0,0,4,7,1390,0,1987,0,0,98030,47.3581,-122.173,1720,12080
16280,4,1.5,1550,19800,1,0,0,4,7,1050,500,1969,0,0,98001,47.3117,-122.27,1640,22654
16281,4,2.5,1820,7912,2,0,0,3,7,1820,0,1994,0,0,98038,47.3845,-122.029,1820,8168
16282,4,2.5,3520,15420,2,0,0,3,10,3520,0,1991,0,0,98074,47.6375,-122.016,3400,21455
16283,4,2.25,2180,10754,1,0,0,5,7,1100,1080,1954,0,0,98133,47.7711,-122.341,1810,6929
16284,5,3,3450,9914,2,0,0,3,9,3450,0,2004,0,0,98023,47.2813,-122.345,2860,9721
16285,3,2.25,1450,7562,2,0,0,3,7,1450,0,1994,0,0,98056,47.5038,-122.189,1650,7625
16286,5,3.5,4800,14984,2,0,2,3,11,3480,1320,1998,0,0,98006,47.5543,-122.148,4050,19009
16287,5,2.25,2720,8800,1,0,0,4,7,1500,1220,1958,0,0,98008,47.5976,-122.118,2110,8800
16288,3,3.5,1710,2096,2,0,0,3,8,1290,420,2008,0,0,98122,47.6055,-122.305,1630,1543
16289,4,1.75,3730,16980,1,0,0,4,7,2150,1580,1974,0,0,98022,47.1775,-122.022,1880,16963
16290,3,3.25,1510,2000,2,0,0,3,9,1330,180,2001,0,0,98116,47.5815,-122.402,1510,1352
16291,3,2.5,2990,32239,2,0,0,4,8,2990,0,1978,0,0,98077,47.7718,-122.095,2990,36497
16292,3,1.75,2910,37461,1,0,0,4,7,1530,1380,1967,0,0,98052,47.7015,-122.164,2520,18295
16293,3,2.25,1860,5028,2,0,0,3,8,1860,0,2012,0,0,98019,47.7318,-121.982,2320,5465
16294,3,2.5,2280,10255,2,0,0,4,8,2280,0,1985,0,0,98058,47.4334,-122.161,2310,10094
16295,3,2.5,1530,8500,1,0,0,5,7,1030,500,1996,0,0,98038,47.3592,-122.046,1850,8140
16296,4,3,2290,8250,2,0,0,3,9,2290,0,1990,0,0,98042,47.3739,-122.156,2290,8250
16297,4,3,4040,19700,2,0,0,3,11,4040,0,1987,0,0,98052,47.7205,-122.127,3930,21887
16298,3,2.5,3130,8750,2,0,0,3,10,3130,0,1991,0,0,98052,47.6954,-122.103,2860,9003
16299,3,2.5,3545,9816,1,0,0,3,10,2610,935,2005,0,0,98027,47.5534,-122.078,3630,7704
16300,3,1.75,1220,9732,1,0,0,3,7,1220,0,1965,0,0,98011,47.7736,-122.214,1630,10007
16301,3,1,1400,10403,1,0,0,4,6,1400,0,1976,0,0,98038,47.362,-122.029,1230,10209
16302,3,2.5,2260,3640,2,0,0,3,8,2260,0,1994,0,0,98072,47.7356,-122.157,2350,3710
16303,3,3,1970,20978,2,1,3,4,9,1770,200,1980,0,0,98070,47.3844,-122.438,2280,75396
16304,3,2.25,2570,8491,2,0,0,4,8,2570,0,1989,0,0,98042,47.3759,-122.125,2400,8049
16305,3,2,1510,3413,2,0,0,3,7,1510,0,1985,0,0,98031,47.3912,-122.167,1570,3777
16306,3,1,980,7000,1,0,0,3,6,980,0,1953,0,0,98133,47.7617,-122.357,1220,7000
16307,3,2.5,1810,5192,2,0,0,3,8,1810,0,1993,0,0,98038,47.3724,-122.042,1810,6200
16308,4,2.75,3390,6298,2,0,0,3,9,3390,0,2011,0,0,98074,47.5906,-122.062,3390,7111
16309,3,2.5,1950,8130,2,0,0,4,9,1950,0,1990,0,0,98042,47.3875,-122.161,2350,7691
16310,3,1.5,1350,6000,1,0,2,3,7,900,450,1950,0,0,98136,47.5275,-122.391,1730,6012
16311,6,3.5,4860,11793,2,0,0,3,11,3860,1000,1998,0,0,98006,47.5521,-122.137,3600,11793
16312,3,2.75,3080,19635,1,0,2,4,7,1610,1470,1958,0,0,98032,47.3841,-122.284,2424,12410
16313,4,2.5,2770,7800,2,0,0,3,10,2770,0,1999,0,0,98033,47.684,-122.205,2720,10000
16314,2,1.75,1330,7200,1,0,0,3,7,1330,0,1993,0,0,98188,47.4467,-122.281,1450,11682
16315,3,1,1210,3328,1.5,0,0,4,7,1210,0,1924,0,0,98107,47.6729,-122.363,1640,3333
16316,4,1.75,2430,7559,1,0,0,4,8,1580,850,1981,0,0,98052,47.7206,-122.11,1980,8750
16317,2,1,1100,7680,1,0,0,4,7,1100,0,1950,0,0,98133,47.7439,-122.339,1460,7680
16318,4,2.25,4760,8036,2.5,0,0,5,9,3390,1370,1916,0,0,98112,47.6415,-122.285,2950,9323
16319,4,1.5,1690,11054,1,0,0,4,5,1690,0,1930,0,0,98055,47.4667,-122.215,1690,9040
16320,3,1.5,1010,9600,1,0,0,4,7,1010,0,1962,0,0,98198,47.4097,-122.316,1400,9660
16321,3,1,1040,7405,1,0,0,4,6,1040,0,1971,0,0,98010,47.3105,-122.021,1580,7405
16322,4,1.75,2320,12000,1,0,0,4,8,2270,50,1973,0,0,98032,47.3644,-122.28,2120,9880
16323,2,1,1320,8865,1,0,0,4,6,1320,0,1943,0,0,98168,47.4949,-122.3,1190,6490
16324,3,1.5,1300,8280,1,0,0,5,7,1300,0,1956,0,0,98028,47.7403,-122.256,1570,8692
16325,4,3,2230,108900,1,0,0,3,7,1410,820,1978,0,0,98065,47.52,-121.845,1960,65340
16326,3,1,1180,3400,1.5,0,0,3,8,1180,0,1907,0,0,98109,47.6376,-122.353,1440,3400
16327,3,1.5,1820,10608,1,0,0,4,7,1820,0,1962,0,0,98003,47.3366,-122.306,1380,8976
16328,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,0,98116,47.573,-122.409,2130,4920
16329,4,1.75,1420,7500,1,0,0,4,7,1080,340,1981,0,0,98031,47.4025,-122.176,1500,7260
16330,3,2,2060,2900,1.5,0,0,5,8,1330,730,1931,0,0,98144,47.5897,-122.292,1910,3900
16331,3,1.5,1830,217800,1,0,0,3,7,1010,820,1981,0,0,98053,47.6277,-121.972,2450,165963
16332,3,1.75,1820,32666,1,0,0,4,7,1820,0,1966,0,0,98022,47.1803,-121.974,2050,43560
16333,4,2.5,1780,3600,2,0,0,3,7,1780,0,2006,0,0,98038,47.3665,-122.017,2020,3802
16334,3,1.75,1460,10584,1,0,0,3,7,990,470,1997,0,0,98168,47.492,-122.317,1220,12012
16335,3,2.5,3370,14402,2,0,2,3,9,3370,0,2004,0,0,98045,47.5008,-121.776,3330,9691
16336,4,2.75,3550,13938,1,0,0,5,8,2100,1450,1966,0,0,98188,47.425,-122.283,2050,9000
16337,2,1,940,6804,1,0,0,3,7,940,0,1949,0,0,98177,47.7047,-122.373,1150,6930
16338,3,2,1670,6824,1,0,0,3,7,1300,370,1990,0,0,98042,47.3666,-122.084,1660,7586
16339,4,3.5,3100,15842,2,0,0,3,8,2400,700,1996,0,0,98028,47.7466,-122.242,2200,19400
16340,3,2.75,2540,4694,2,0,0,3,9,2540,0,2005,0,0,98074,47.6214,-122.024,2600,6344
16341,3,2.5,2060,5750,1,0,0,3,7,1330,730,1976,0,0,98116,47.5671,-122.391,1920,5750
16342,2,1.75,1760,5000,1,0,0,4,7,940,820,1927,0,0,98117,47.682,-122.372,1530,5000
16343,3,1,960,6400,1,0,0,4,6,820,140,1944,0,0,98178,47.496,-122.239,1200,6600
16344,3,2.5,1660,1458,3,0,0,3,9,1660,0,2014,0,0,98144,47.5876,-122.309,1660,1784
16345,3,2.25,1270,2790,1,0,0,3,7,990,280,1970,0,0,98199,47.6581,-122.396,1920,4000
16346,4,2.5,2250,9091,1,0,0,3,7,1340,910,1982,0,0,98001,47.336,-122.269,1540,7802
16347,3,1.75,1680,6200,1.5,0,0,3,7,1680,0,1916,0,0,98136,47.5338,-122.384,1680,5100
16348,4,1.75,2020,36400,1,0,0,4,8,1550,470,1976,0,0,98077,47.7627,-122.076,2520,38255
